Rank,Coin,Symbol,Data Points,Avg FR %,Std FR %,Min FR %,Max FR %
35,Ethereum Classic,ETC,90,0.7875,1.1522,-8.585,2.5807
36,Cronos,CRO,90,0.7488,1.2251,-10.0009,1.0
37,Bittensor,TAO,90,0.2521,0.5335,-2.2651,0.5
38,VeChain,VET,90,0.7531,0.5147,-1.4184,1.0
39,Virtuals Protocol,VIRTUAL,90,-0.1189,1.0223,-4.8134,0.5
40,Artificial Superintelligence Alliance,FET,90,0.6758,0.7848,-2.7069,1.0
41,Arbitrum,ARB,90,0.5391,0.5175,-0.8863,1.0
42,Ethena,ENA,90,-0.6948,1.9644,-8.8439,0.5
43,MANTRA,OM,90,-4.5114,16.4654,-140.639,0.5
44,Monero,XMR,90,1.6544,2.846,-12.5494,16.3206
45,Filecoin,FIL,90,0.5976,1.3974,-9.6357,1.3183
46,Algorand,ALGO,90,0.7781,0.7818,-4.9528,1.0
47,Kaspa,KAS,90,0.4436,0.2723,-1.1515,0.5
48,OKB,OKB,45,0.8881,1.3378,0.5,6.7854
49,Cosmos,ATOM,90,-0.1635,3.2896,-26.4771,1.0
50,Optimism,OP,90,0.6022,1.1832,-6.4603,1.0
51,Celestia,TIA,90,-0.2389,1.551,-7.559,0.5
52,Stacks,STX,90,0.4152,1.1891,-6.9048,1.0
53,Bonk,BONK,90,-0.027,5.039,-46.4781,1.0
54,Injective,INJ,90,0.3679,0.9342,-2.8551,1.0
55,Pudgy Penguins,PENGU,90,-0.0932,1.4747,-6.9318,0.5
56,Movement,MOVE,90,-0.3539,1.7499,-8.8539,0.5
57,Immutable,IMX,90,-0.3404,1.2641,-4.7556,0.5
58,Theta Network,THETA,90,0.8399,0.9054,-6.408,1.7067
59,Fantom,FTM,90,0.0,0.0,0.0,0.0
60,The Graph,GRT,90,0.4105,0.9584,-3.0659,1.0
61,Ondo,ONDO,90,0.1666,0.578,-2.1892,0.5
62,dogwifhat,WIF,90,0.1249,0.6632,-3.0399,0.5
63,Worldcoin,WLD,90,0.6773,0.5767,-2.1961,1.0
65,JasmyCoin,JASMY,90,0.1622,1.5438,-7.7996,1.0
66,FLOKI,FLOKI,90,0.2595,3.056,-27.6165,1.0
67,Sei,SEI,90,-0.5572,1.9628,-6.6809,1.0
68,Lido DAO,LDO,90,0.4869,0.649,-1.7227,1.0
69,THORChain,RUNE,90,0.6724,1.6983,-13.2239,1.0
70,Raydium,RAY,90,0.7314,1.2858,0.5,11.9025
71,GateToken,GT,90,-3.1309,35.8754,-337.18,12.77
72,The Sandbox,SAND,90,0.9021,0.5963,-4.0316,1.0
73,Gala,GALA,90,0.5448,0.8874,-3.7677,1.0
74,Brett (Based),BRETT,90,0.2965,0.6463,-3.8431,1.0423
75,Flare,FLR,90,-1.7776,2.4639,-9.0758,1.0
76,Tezos,XTZ,90,-0.3722,1.2436,-5.0867,0.5
77,XDC Network,XDC,90,0.528,0.9609,-3.4319,8.5891
78,Quant,QNT,90,0.4758,0.8089,-2.2952,1.0
79,Pyth Network,PYTH,90,-0.2513,1.1517,-5.6157,0.5
80,Maker,MKR,90,0.0571,0.0878,-0.086,0.515
81,SPX6900,SPX,90,0.3376,0.4893,-2.1503,0.5
82,Beam,BEAM,90,0.4391,0.1823,-0.7317,0.5
85,Kaia,KAIA,90,0.3272,0.4932,-2.2222,0.5
86,Curve DAO Token,CRV,90,0.6245,0.6757,-2.1658,1.0
87,Ethereum Name Service,ENS,90,0.2785,2.2981,-12.0163,1.0
88,Arweave,AR,90,0.5931,0.9254,-5.3625,1.0
89,IOTA,IOTA,90,0.5418,0.8202,-3.7168,1.0
90,Jupiter,JUP,90,-0.4084,1.2135,-3.9725,0.5
91,Fartcoin,FARTCOIN,90,0.7145,0.6616,-2.0867,2.9171
92,AIOZ Network,AIOZ,90,0.9658,0.5647,-4.155,2.1478
93,Starknet,STRK,90,-0.0351,1.0011,-5.4168,0.5
94,Flow,FLOW,90,0.5417,1.047,-4.0567,1.0
95,BitTorrent [New],BTT,90,-1.1304,11.6153,-103.2439,1.0
96,Helium,HNT,90,1.2477,1.1457,1.0,9.2885
97,Mog Coin,MOG,90,0.4601,0.3782,-3.0876,0.5
98,dYdX (Native),DYDX,90,0.692,0.7492,-2.9557,1.0
99,Bitcoin SV,BSV,90,-0.7524,2.5549,-11.4625,3.1664
100,Core,CORE,90,-0.6675,2.3856,-10.1415,1.0
