symbol,id,name,current_price,market_cap,fully_diluted_valuation,total_volume,circulating_supply,total_supply,max_supply,price_change_percentage_24h,timestamp
UNI,uniswap,Uniswap,5.73,3445736525.0,5738274193,165281702,600483073.71,1000000000.0,1000000000.0,-1.69896,2025-11-03T02:05:14.262540
WLD,worldcoin-wld,Worldcoin,0.821049,1865612693.0,8216770456,108135264,2270493867.564782,10000000000.0,10000000000.0,-3.36161,2025-11-03T02:05:14.262540
VET,vechain,VeChain,0.01587461,1366560087.0,1366560087,20668951,85985041177.0,85985041177.0,86712634466.0,-1.45648,2025-11-03T02:05:14.262540
XTZ,tezos,Tezos,0.565956,602193187.0,613547878,14933836,1064002655.529946,1084065023.542886,,-1.72199,2025-11-03T02:05:14.262540
WIF,dogwifcoin,dogwifhat,0.525555,525689432.0,525689432,101129749,998926392.0,998926392.0,998926392.0,-0.99001,2025-11-03T02:05:14.262540
ZK,zksync,ZKsync,0.058181,418333653.0,1214779658,803071072,7231769682.371818,21000000000.0,21000000000.0,29.57123,2025-11-03T02:05:14.262540
W,wormhole,Wormhole,0.063732,311986021.0,637878307,27227477,4890995940.0,10000000000.0,10000000000.0,-4.58247,2025-11-03T02:05:14.262540
ZEN,zencash,Horizen,17.0,299233854.0,357703612,333741551,17567367.875668637,21000000.0,21000000.0,-13.51482,2025-11-03T02:05:14.262540
XCN,chain-2,Onyxcoin,0.00778271,280387043.0,377038827,11867161,35994740910.907234,48402432408.48609,48402432408.48609,-3.1845,2025-11-03T02:05:14.262540
ZRO,layerzero,LayerZero,1.67,186029716.0,1673638681,50935114,111152854.20763355,1000000000.0,1000000000.0,3.55779,2025-11-03T02:05:14.262540
ZRX,0x,0x Protocol,0.192627,163556990.0,192783655,22600166,848396562.906836,1000000000.0,1000000000.0,0.00365,2025-11-03T02:05:14.262540
YFI,yearn-finance,yearn.finance,4651.6,157914814.0,170548319,9744828,33949.93623243504,36666.0,36666.0,-1.32094,2025-11-03T02:05:14.262540
ZETA,zetachain,ZetaChain,0.115525,129559991.0,242766931,8949206,1120729167.0,2100000000.0,2100000000.0,-0.99311,2025-11-03T02:05:14.262540
VTHO,vethor-token,VeThor,0.00106769,102204260.0,102260291,3817934,95734081969.0,95786565845.0,,-2.83188,2025-11-03T02:05:14.262540
XYO,xyo-network,XYO Network,0.00685517,95501968.0,95501968,6194991,13931216938.01129,13931216938.01129,13931216938.01129,-1.23776,2025-11-03T02:05:14.262540
UMA,uma,UMA,1.073,94707861.0,135810747,7173762,88203069.61229397,126482898.1210423,,-3.52538,2025-11-03T02:05:14.262540
